player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Spike,NA,Spike,,,,,LF,NA,1923,1923,,
Gabriel Aballí,Gabriel,Aballí,,,,,P,NA,1930,1930,"1900								 (Limonar, Cuba)",
Jim Abbott,Jim,Abbott,,,,R,1B,NA,1906,1914,12/15/1884 (birthplace unknown),
Eufemio Abreu,Eufemio,Abreu,"5'6""",,R,R,C,NA,1919,1925,"1901								 (Matanzas, Cuba)",
José Abreu,José,Abreu,"5'10""",,,,2B,NA,1934,1935,"1910								 (Havana, Cuba)",
Juan Abreu,Juan,Abreu,"5'6""",,,,RF,NA,1930,1937,"1904								 (Cienfuegos, Cuba)",
Acea,NA,Acea,,,,,RF,NA,1910,1915,,
Adams,NA,Adams,,,,,SS,NA,1935,1935,,
Emery Adams,Emery,Adams,"5'11""",171,R,R,P,NA,1932,1947,"10/10/1911								 (Collierville, TN)",
Keenan Addison,Keenan,Addison,,,,,CF,NA,1911,1911,,
Tom Addison,Tom,Addison,,,,,SS,NA,1910,1911,,
Charley Akers,Charley,Akers,,,,R,-,NA,1921,1921,"1903								 (Moline, IL)",
Johnny Albertson,Johnny,Albertson,,,,,3B,NA,1936,1937,,
Thomas Albright,Thomas,Albright,"5'10""",225,R,R,P,NA,1929,1936,"12/23/1909								 (Crockett, TX)","6/1986								 (Denver, CO)"
Alex Albritton,Alex,Albritton,,,L,R,P,NA,1918,1925,"2/12/1892								 (Live Oak, FL)","2/3/1940								 (Philadelphia, PA)"
Alexander,NA,Alexander,,,,,SS,NA,1919,1919,,
Buck Alexander,Buck,Alexander,,,R,R,P,NA,1923,1926,,
Chuffie Alexander,Chuffie,Alexander,"5'10""",171,,R,LF,NA,1927,1932,"3/15/1902								 (Bastrop, TX)","9/22/1989								 (Austin, TX)"
Hub Alexander,Hub,Alexander,,,,,LF,NA,1911,1914,,
Koke Alexander,Koke,Alexander,,,,R,LF,NA,1918,1921,"2/1/1888								 (Winston-Salem, NC)",
Ángel Alfonso,Ángel,Alfonso,"5'6""",,R,R,2B,NA,1924,1930,"1901								 (Havana, Cuba)",
Allen,NA,Allen,,,,,P,NA,1910,1910,,
Cliney Allen,Cliney,Allen,,,,,P,NA,1932,1932,1910 (birthplace unknown),
David Allen,David,Allen,,,,,1B,NA,1887,1887,"2/15/1858								 (Madison, VA)","10/21/1931								 (Pittsburgh, PA)"
Half Pint Allen,Half,Allen,,128,,L,P,NA,1932,1934,,
Hap Allen,Hap,Allen,"5'8""",148,,R,3B,NA,1921,1922,"8/23/1900								 (Pittsburgh, PA)","7/20/1988								 (Pittsburgh, PA)"
Major Allen,Major,Allen,"5'9""",193,,R,2B,NA,1919,1922,"4/13/1896								 (New Haven, CT)","3/30/1947								 (New York, NY)"
Newt Allen,Newt,Allen,"5'8""",160,R,R,2B,NA,1923,1947,"5/19/1901								 (Austin, TX)","6/9/1988								 (Cincinnati, OH)"
Todd Allen,Todd,Allen,"5'9""",155,R,R,3B,NA,1908,1925,"1/14/1885								 (Wheatland, IN)","1/17/1971								 (Indianapolis, IN)"
Toussaint Allen,Toussaint,Allen,"5'11""",162,R,L,1B,NA,1919,1928,"6/7/1896								 (Atlanta, GA)","3/3/1960								 (Philadelphia, PA)"
Moody Allison,Moody,Allison,,,,,2B,NA,1925,1925,,
Rafael Almeida,Rafael,Almeida,"5'9""",164,R,R,3B,NA,1904,1907,"7/30/1885								 (Havana, Cuba)","3/19/1968								 (Havana, Cuba)"
Rogelio Alonso,Rogelio,Alonso,"5'6""",,R,R,LF,NA,1927,1930,"1906								 (Havana, Cuba)",
Avelino Álvarez,Avelino,Álvarez,"5'4""",,,,LF,NA,1936,1936,"1912								 (Havana, Cuba)",
Raúl Álvarez,Raúl,Álvarez,,,,,P,NA,1924,1932,"1902								 (Havana, Cuba)",
Bill Anderson,Bill,Anderson,,,,,RF,NA,1930,1930,,
Bobby Anderson,Bobby,Anderson,"5'8""",164,,R,2B,NA,1920,1920,"2/25/1899								 (Chicago, IL)","1/24/1975								 (Chicago, IL)"
Bubbles Anderson,Bubbles,Anderson,"5'8""",151,R,R,2B,NA,1922,1925,"11/4/1904								 (Denver, CO)","3/14/1943								 (Denver, CO)"
C. Anderson,C.,Anderson,,,,,RF,NA,1920,1920,,
Lewis Anderson,Lewis,Anderson,,,R,R,C,NA,1930,1933,,
Robert Anderson,Robert,Anderson,,,,,P,NA,1908,1908,,
Andrews,NA,Andrews,,,,,RF,NA,1932,1932,,
Jabbo Andrews,Jabbo,Andrews,"6'4""",198,L,L,RF,LF,1930,1942,"12/23/1907								 (Burnsville, AL)",7/1964 (death place unknown)
Pop Andrews,Pop,Andrews,,,,L,P,NA,1905,1914,,
Guillermo Angulo,Guillermo,Angulo,"5'6""",133,,,1B,NA,1929,1929,"6/25/1902								 (Carolina, Puerto Rico)","8/22/1979								 (Carolina, Puerto Rico)"
Pedro Arango,Pedro,Arango,"5'8""",,,R,3B,1B,1925,1939,"1902								 (Havana, Cuba)",
Luke Archer,Luke,Archer,,,,,P,NA,1919,1922,"6/9/1899								 (Due West, SC)","12/9/1988								 (St. Augustine, FL)"
Hipolito Arenas,Hipolito,Arenas,"5'9""",156,,R,CF,NA,1932,1932,"8/13/1907								 (Tampa, FL)","12/28/1995								 (Tampa, FL)"
Felipe Armas,Felipe,Armas,"5'7""",,,,P,NA,1925,1925,"1902								 (Matanzas, Cuba)",
Pablo Armenteros,Pablo,Armenteros,"5'6""",,,,P,NA,1916,1916,"1894								 (Cienfuegos, Cuba)",
Buddy Armour,Buddy,Armour,"5'9""",170,L,R,3B,LF,1933,1947,"4/27/1915								 (Madison, MS)","4/15/1974								 (Carbondale, IL)"
James Armstrong,James,Armstrong,,,,,LF,NA,1887,1887,,
Mule Armstrong,Mule,Armstrong,"5'9""",,,,C,NA,1909,1913,"7/28/1885								 (West Elizabeth, PA)","4/27/1954								 (Pittsburgh, PA)"
Paul Arnold,Paul,Arnold,"5'8""",160,L,R,CF,NA,1926,1936,"11/2/1903								 (Hopewell, NJ)","5/1979								 (Hopewell, NJ)"
Arpen,NA,Arpen,,,,,-,NA,1936,1936,,
Arthur,NA,Arthur,,,,,3B,NA,1923,1923,,
Joaquín Arumís,Joaquín,Arumís,,,L,R,2B,NA,1920,1920,,
Orlando Asbury,Orlando,Asbury,"5'10""",155,,,P,NA,1924,1924,"9/6/1897								 (Brooklyn, NY)","9/13/1991								 (Pensacola, FL)"
Rudolph Ash,Rudolph,Ash,"5'8""",170,,,RF,NA,1920,1926,"11/2/1899								 (South Bend, IN)","2/1977								 (New York, NY)"
Abe Atkins,Abe,Atkins,"5'8""",170,,,3B,NA,1923,1923,"11/20/1893								 (Tamms, IL)","10/17/1961								 (Akron, OH)"
Cornelius Augustus,Cornelius,Augustus,"5'9""",150,,L,P,NA,1927,1937,"9/17/1905								 (Guntown, MS)","3/30/1981								 (St. Louis, MO)"
Austin,NA,Austin,,,,,P,NA,1931,1932,,
Raymond Austin,Raymond,Austin,,,,,P,NA,1930,1932,,
James Aylor,James,Aylor,,,,,CF,NA,1887,1887,"1863								 (Philadelphia, PA)","8/2/1894								 (Philadelphia, PA)"
Bagby,NA,Bagby,,,,,-,NA,1921,1921,,
Alonza Bailey,Alonza,Bailey,"5'7""",142,,,P,NA,1934,1936,"2/16/1904								 (Riceboro, GA)","4/26/1984								 (West Palm Beach, FL)"
Bob Bailey,Bob,Bailey,"5'9""",186,,R,2B,NA,1917,1917,"1/17/1895								 (Grand Cane, LA)","5/11/1962								 (Dallas, TX)"
D. Bailey,D.,Bailey,,,,,3B,NA,1916,1920,,
Percy Bailey,Percy,Bailey,,,,R,P,NA,1933,1934,,
Henry Baker,Henry,Baker,,,,,RF,NA,1925,1932,1901 (birthplace unknown),
Tiny Baldwin,Tiny,Baldwin,"5'10""",170,,,2B,NA,1921,1926,"2/16/1904								 (Indianapolis, IN)","5/14/1959								 (Indianapolis, IN)"
Walter Ball,Walter,Ball,,,R,R,P,NA,1903,1921,"9/12/1877								 (Detroit, MI)","12/16/1946								 (Chicago, IL)"
Sam Bankhead,Sam,Bankhead,"5'9""",165,R,R,LF,SS,1932,1948,"9/18/1910								 (Sulligent, AL)","7/24/1976								 (Pittsburgh, PA)"
Banks,NA,Banks,,,,,3B,NA,1924,1924,,
F. Banks,F.,Banks,,,L,L,P,NA,1914,1920,,
G. Banks,G.,Banks,,,,,C,NA,1915,1917,,
Manuel Baranda,Manuel,Baranda,"5'11""",,,,1B,NA,1915,1918,"4/24/1890								 (Havana, Cuba)",
Jesse Barber,Jesse,Barber,"6'0""",176,L,R,RF,NA,1910,1924,"1/5/1888								 (Charlottesville, VA)","10/21/1959								 (Bridgeport, CT)"
Bull Barbour,Bull,Barbour,,,,R,1B,NA,1921,1922,"10/23/1892								 (Greenfield, OH)","6/27/1948								 (Greenfield, OH)"
Joaquín Barceló,Joaquín,Barceló,"5'9""",,,,P,NA,1921,1921,"1893								 (Caibarién, Cuba)",
Marvin Barker,Marvin,Barker,"5'8""",170,R,R,CF,NA,1932,1948,"2/13/1912								 (Joplin, MO)",
Fred Barnes,Fred,Barnes,,,,,P,NA,1924,1924,,
John Barnes,John,Barnes,"6'0""",240,L,R,C,NA,1921,1931,"6/5/1903								 (Pensacola, FL)","8/27/1972								 (Cleveland Heights, OH)"
Rube Barnes,Rube,Barnes,,,,,2B,NA,1904,1906,,
Archie Barnett,Archie,Barnett,"5'4""",135,,R,C,NA,1921,1921,"3/23/1891								 (Pittsburgh, PA)","6/1986								 (Pittsburgh, PA)"
Bernardo Baró,Bernardo,Baró,"5'6""",,L,L,RF,NA,1915,1929,"2/27/1896								 (Cárdenas, Cuba)",6/1930 (death place unknown)
Barry,NA,Barry,,,,,P,NA,1915,1915,,
Hop Bartlett,Hop,Bartlett,,,,L,P,NA,1924,1925,,
Sapho Bartlett,Sapho,Bartlett,"5'7""",148,,,P,NA,1910,1919,"12/24/1894								 (Indianapolis, IN)","1/1974								 (Chicago, IL)"
Eugene Barton,Eugene,Barton,,,,,LF,NA,1906,1910,"4/27/1880								 (Normal, IL)","7/3/1922								 (Chicago, IL)"
Sherman Barton,Sherman,Barton,,,R,R,CF,NA,1897,1911,"2/2/1875								 (Normal, IL)","7/11/1947								 (Chicago, IL)"
William Barton,William,Barton,,,,,CF,NA,1891,1891,,
Ray Basham,Ray,Basham,,,,,C,NA,1932,1932,1900 (birthplace unknown),
Pepper Bassett,Pepper,Bassett,"6'3""",225,B,R,C,NA,1935,1948,"8/5/1910								 (Baton Rouge, LA)","2/27/1981								 (Los Angeles, CA)"
Charlie Batson,Charlie,Batson,,,,,RF,NA,1908,1909,"9/1/1887								 (Sugar Grove, PA)","6/26/1927								 (Cresson, PA)"
Rufus Battle,Rufus,Battle,"5'7""",133,,,C,NA,1924,1924,"11/7/1896								 (Arkadelphia, AR)",2/22/1954 (death place unknown)
Harry Bauchman,Harry,Bauchman,,,R,R,2B,NA,1911,1921,"6/6/1890								 (Omaha, NE)","6/20/1931								 (Chicago, IL)"
Marcelino Bauza,Marcelino,Bauza,"5'4""",,,R,SS,NA,1930,1944,"1908								 (Havana, Cuba)",
Baylock,NA,Baylock,,,,,P,NA,1927,1927,,
William Baynard,William,Baynard,,,,,CF,NA,1914,1927,"2/28/1892								 (James Island, SC)","6/1971								 (Camden, SC)"
Darius Bea,Darius,Bea,"6'2""",185,,L,P,RF,1934,1940,"12/15/1913								 (White Stone, VA)","6/26/2001								 (Philadelphia, PA)"
John Beckwith,John,Beckwith,"5'11""",200,R,R,3B,1B,1919,1937,"1/10/1900								 (Louisville, KY)","1/4/1956								 (New York, NY)"
Stanley Beckwith,Stanley,Beckwith,"5'11""",195,,R,SS,NA,1917,1917,"7/11/1896								 (Louisville, KY)","10/2/1984								 (Cleveland, OH)"
Will Bedford,Will,Bedford,,,,R,2B,NA,1908,1909,12/1885 (birthplace unknown),"8/26/1909								 (Atlantic City, NJ)"
Agustín Bejerano,Agustín,Bejerano,"5'9""",130,L,L,LF,NA,1928,1944,"5/16/1909								 (Manzanillo, Cuba)",11/6/1972 (death place unknown)
Herman Belger,Herman,Belger,"5'9""",170,,,C,NA,1914,1914,"8/31/1892								 (Bellefontaine, MO)","4/3/1971								 (St. Louis, MO)"
Bell,NA,Bell,,,,,2B,NA,1932,1932,,
Abe Bell,Abe,Bell,,,,,P,NA,1924,1924,,
Charley Bell,Charley,Bell,,,,,C,NA,1887,1887,,
Cliff Bell,Cliff,Bell,"5'10""",180,R,R,P,NA,1921,1931,"7/2/1896								 (Kildare, TX)","4/13/1952								 (Los Angeles, CA)"
James Bell,James,Bell,"5'11""",157,B,L,CF,NA,1922,1946,"5/17/1903								 (Starkville, MS)","3/7/1991								 (St. Louis, MO)"
Frank Bell,Frank,Bell,,,,,SS,NA,1888,1891,,
Fred Bell,Fred,Bell,,,L,L,P,NA,1923,1927,"3/19/1902								 (Starkville, MS)","10/11/1936								 (Detroit, MI)"
Joe Bell,Joe,Bell,,,,L,RF,NA,1932,1932,,
Jute Bell,Jute,Bell,"5'10""",170,R,R,P,NA,1923,1931,"5/30/1900								 (Jellico, TN)","12/7/1991								 (Knoxville, TN)"
William Bell,William,Bell,,,,,P,NA,1900,1904,,
William Bell,William,Bell,"5'7""",170,R,R,P,NA,1923,1937,"8/31/1897								 (Hallettsville, TX)","3/16/1969								 (El Campo, TX)"
Benea,NA,Benea,,,,,-,NA,1933,1933,,
Jerry Benjamin,Jerry,Benjamin,"5'9""",165,B,R,CF,NA,1932,1948,"11/9/1909								 (Montgomery, AL)","11/23/1974								 (Detroit, MI)"
Don Bennett,Don,Bennett,,,,,-,NA,1930,1930,,
Sam Bennett,Sam,Bennett,,,R,R,CF,NA,1907,1925,"3/7/1884								 (Austin, TX)","1/30/1969								 (St. Louis, MO)"
George Bennette,George,Bennette,"5'8""",150,L,,LF,NA,1921,1932,"2/22/1901								 (Chicago, IL)","11/7/1984								 (Chicago, IL)"
Gene Benson,Gene,Benson,"5'9""",180,L,L,CF,NA,1934,1948,"10/2/1913								 (Pittsburgh, PA)","4/6/1999								 (Philadelphia, PA)"
Eddie Berry,Eddie,Berry,,,,,SS,NA,1930,1930,,
Ross Best,Ross,Best,,,,,P,NA,1904,1904,,
Charlie Beverly,Charlie,Beverly,"5'8""",155,L,L,P,NA,1925,1939,"5/6/1900								 (Walker County, TX)","3/20/1981								 (Sealy, TX)"
Rainey Bibbs,Rainey,Bibbs,"5'10""",175,B,R,SS,2B,1933,1944,"10/31/1910								 (Henderson, KY)","9/11/1980								 (Indianapolis, IN)"
Jimmy Binder,Jimmy,Binder,"5'5""",132,R,R,3B,2B,1930,1937,"8/2/1902								 (Bessemer, AL)","7/25/1979								 (Pittsburgh, PA)"
William Binga,William,Binga,,,,,3B,NA,1897,1911,2/26/1869 (birthplace unknown),"10/14/1950								 (Minneapolis, MN)"
Bingo Bingham,Bingo,Bingham,,,,,RF,NA,1909,1921,4/16/1885 (birthplace unknown),
Binson,NA,Binson,,,,,SS,NA,1932,1932,,
Jack Biran,Jack,Biran,,,,,2B,NA,1916,1916,,
Leo Birdine,Leo,Birdine,"5'10""",170,,R,RF,NA,1927,1932,"3/23/1895								 (Leesburg, TX)",5/21/1960 (death place unknown)
C. Bishop,C.,Bishop,,,,,C,NA,1908,1908,,
Black,NA,Black,,,,,RF,NA,1924,1924,,
Black,NA,Black,,,,,-,NA,1931,1931,,
Howard Black,Howard,Black,,,,L,P,NA,1926,1926,,
Black Cat,Black,Cat,,,,,3B,NA,1907,1909,,
Hugh Blackburn,Hugh,Blackburn,"5'6""",165,,L,P,NA,1920,1920,"11/4/1887								 (Sweet Springs, MO)","9/29/1950								 (Kansas City, MO)"
Henry Blackmon,Henry,Blackmon,"6'2""",185,R,R,3B,NA,1917,1924,"9/19/1891								 (Hillsboro, TX)","8/8/1924								 (Baltimore, MD)"
Charlie Blackwell,Charlie,Blackwell,"5'7""",150,L,L,RF,NA,1915,1929,"12/12/1894								 (Brandenburg, KY)","4/22/1935								 (Proviso, IL)"
Frank Blake,Frank,Blake,,,,L,P,NA,1932,1935,"9/22/1910								 (Boston, MA)",
Chester Blanchard,Chester,Blanchard,"6'0""",150,,R,SS,NA,1926,1928,"7/13/1903								 (Adena, OH)","11/13/1996								 (Dayton, OH)"
Blank,NA,Blank,,,,,-,NA,1928,1928,,
Blankenship,NA,Blankenship,,,,,RF,NA,1908,1908,,
Frank Blattner,Frank,Blattner,"6'0""",170,,R,1B,NA,1916,1921,"4/8/1890								 (Oskaloosa, IA)","1/24/1954								 (Chicago, IL)"
Fox Blevins,Fox,Blevins,"5'10""",165,R,R,3B,NA,1932,1936,"6/4/1910								 (San Antonio, TX)","2/14/1986								 (Contra Costa, CA)"
Blocker,NA,Blocker,,,,,P,NA,1931,1931,,
Blue,NA,Blue,,,,,P,NA,1930,1930,,
Virgil Blueitt,Virgil,Blueitt,"5'6""",,,,3B,NA,1916,1916,"3/18/1896								 (Bowling Green, KY)","4/29/1952								 (Chicago, IL)"
Lucas Boada,Lucas,Boada,"5'10""",,R,R,P,NA,1919,1924,"1893								 (Matanzas, Cuba)",
George Board,George,Board,"5'11""",175,,,1B,NA,1907,1913,"10/6/1880								 (Shelby County, KY)","1/5/1962								 (Indianapolis, IN)"
Willie Bobo,Willie,Bobo,,,L,L,1B,NA,1923,1930,1902 (birthplace unknown),"2/22/1931								 (San Diego, CA)"
George Boggs,George,Boggs,,,L,L,P,NA,1921,1928,1899 (birthplace unknown),
Bolden,NA,Bolden,,,,,P,NA,1920,1920,,
Otto Bolden,Otto,Bolden,,,,,C,NA,1909,1912,"7/22/1879								 (Waco, TX)","2/17/1930								 (Kansas City, MO)"
Leon Boles,Leon,Boles,,,L,L,C,NA,1911,1911,9/25/1887 (birthplace unknown),"4/26/1914								 (Chicago, IL)"
Bolt,NA,Bolt,,,,,-,NA,1934,1934,,
Ted Bond,Ted,Bond,"5'6""",155,R,R,SS,3B,1935,1940,"1/25/1904								 (Kimball, WV)","12/18/1997								 (Chicago, IL)"
Robert Bonner,Robert,Bonner,"5'10""",183,R,R,1B,NA,1921,1926,"4/1/1894								 (Fayetteville, TN)",
Pete Booker,Pete,Booker,,,R,R,C,NA,1905,1917,"1886								 (Richmond, VA)","9/26/1922								 (Chicago, IL)"
Bookman,NA,Bookman,,,,,P,NA,1914,1914,,
Alonzo Boone,Alonzo,Boone,"6'1""",195,R,R,P,NA,1929,1947,"1/13/1908								 (Decatur, AL)","4/8/1982								 (Cleveland, OH)"
Robert Boone,Robert,Boone,,,,L,CF,NA,1909,1912,1884 (birthplace unknown),
Kid Boots,Kid,Boots,,,,,RF,NA,1908,1908,,
Borden,NA,Borden,,,,,3B,NA,1913,1914,,
José Borges,José,Borges,,,,,2B,NA,1904,1908,1882 (birthplace unknown),
Mario Borroto,Mario,Borroto,,,,,C,NA,1920,1921,,
Fred Bostick,Fred,Bostick,"5'11""",167,R,R,LF,NA,1923,1924,"11/19/1895								 (St. Louis, MO)","1/17/1965								 (St. Louis, MO)"
Lefty Bowers,Lefty,Bowers,"5'10""",225,,L,P,NA,1926,1927,"8/24/1909								 (Richmond, VA)","12/6/1978								 (Baltimore, MD)"
William Bowers,William,Bowers,,,,,RF,NA,1887,1887,,
Bowman,NA,Bowman,,,,,C,NA,1932,1932,,
Emmett Bowman,Emmett,Bowman,,,,R,CF,NA,1905,1911,"8/24/1885								 (Allegheny, PA)","2/28/1912								 (Coraopolis, PA)"
George Bowman,George,Bowman,,,,R,2B,NA,1909,1910,"8/1883								 (Coraopolis, PA)",
Ben Boyd,Ben,Boyd,,,,,CF,NA,1887,1891,4/8/1858 (birthplace unknown),
Eddie Boyd,Eddie,Boyd,"5'5""",150,,,RF,NA,1920,1920,"1/23/1893								 (St. Louis, MO)",8/1962 (death place unknown)
Fred Boyd,Fred,Boyd,,,,,RF,NA,1921,1922,"6/23/1898								 (Blocton, AL)","2/24/1923								 (Cleveland, OH)"
Ollie Boyd,Ollie,Boyd,"6'0""",201,,,P,NA,1933,1934,"12/2/1910								 (Kansas City, KS)","4/29/1941								 (Bakersfield, CA)"
Braddock,NA,Braddock,,,,,2B,NA,1911,1911,,
Charlie Bradford,Charlie,Bradford,"5'11""",185,,,RF,NA,1912,1927,"3/24/1890								 (Pittsburgh, PA)",
Bradley,NA,Bradley,,,,,P,NA,1932,1932,,
Bradley,NA,Bradley,,,,,3B,NA,1922,1922,,
Phil Bradley,Phil,Bradley,,,,R,C,NA,1907,1914,"3/1885								 (Schenectady, NY)",
Red Bradley,Red,Bradley,,,,,P,NA,1927,1927,,
Farmer Brady,Farmer,Brady,,,,L,P,NA,1921,1924,"8/29/1893								 (Jenkins City, GA)",
John Brady,John,Brady,,,,,LF,NA,1887,1887,,
Ramón Bragaña,Ramón,Bragaña,"5'11""",180,R,R,RF,P,1928,1944,"5/11/1909								 (Havana, Cuba)","5/11/1985								 (Las Choapas, Mexico)"
Jesse Bragg,Jesse,Bragg,,,,R,3B,NA,1906,1918,"2/5/1887								 (Amelia County, VA)",
Brammell,NA,Brammell,,,,,C,NA,1932,1932,,
Branch,NA,Branch,,,,,LF,NA,1915,1915,,
George Branham,George,Branham,"5'11""",175,,,P,NA,1917,1917,"11/29/1891								 (Castalian Springs, TN)","4/14/1977								 (Detroit, MI)"
Slim Branham,Slim,Branham,"6'2""",198,R,R,P,NA,1920,1932,"4/7/1900								 (Castalian Springs, TN)","1/19/1957								 (Cleveland, OH)"
George Branigan,George,Branigan,"5'9""",152,,R,P,NA,1926,1926,"8/21/1905								 (Corona, AL)","7/8/1966								 (Cleveland, OH)"
James Bray,James,Bray,"5'9""",184,,,C,NA,1925,1931,"12/12/1898								 (Troy, AL)",
Clarkson Brazelton,Clarkson,Brazelton,,,,R,C,NA,1915,1916,"4/11/1892								 (Asheville, NC)","6/14/1940								 (Chicago, IL)"
Eugene Bremer,Eugene,Bremer,"5'9""",176,R,R,P,NA,1936,1948,"7/18/1916								 (New Orleans, LA)","6/19/1971								 (Cleveland, OH)"
Chet Brewer,Chet,Brewer,"6'4""",176,B,R,P,NA,1925,1948,"1/14/1907								 (Leavenworth, KS)","3/26/1990								 (Whittier, CA)"
McKinley Brewer,McKinley,Brewer,"5'8""",155,,,LF,NA,1919,1921,"4/12/1896								 (Evansville, IN)","9/23/1955								 (Indianapolis, IN)"
Three Finger Brice,Three,Brice,,,,,P,NA,1914,1914,"4/22/1888								 (Harford County, MD)","9/3/1962								 (Petersburg, VA)"
Bo Briggery,Bo,Briggery,"6'1""",227,,,SS,NA,1932,1932,"8/8/1908								 (Walton County, GA)","9/12/1971								 (Walton County, GA)"
Otto Briggs,Otto,Briggs,"5'7""",155,L,R,RF,NA,1915,1934,"4/7/1891								 (Kings Mountain, NC)","10/28/1943								 (Philadelphia, PA)"
Joe Bright,Joe,Bright,,,,,RF,NA,1932,1932,,
Johnny Bright,Johnny,Bright,,,,,P,NA,1907,1907,1888 (birthplace unknown),"6/24/1908								 (Cleveland, OH)"
Jesse Briscoe,Jesse,Briscoe,,,,,CF,NA,1910,1914,"6/6/1882								 (Louisville, KY)","7/31/1962								 (Louisville, KY)"
George Britt,George,Britt,"5'8""",175,R,R,P,C,1917,1944,"7/6/1895								 (Lexington, KY)","1/1981								 (Erie, PA)"
Broadnax,NA,Broadnax,,,,,P,NA,1929,1929,,
Fred Brokaw,Fred,Brokaw,,,,,2B,NA,1904,1905,8/25/1879 (birthplace unknown),
Broles,NA,Broles,,,,,P,NA,1912,1912,,
Bronson,NA,Bronson,,,,,-,NA,1936,1936,,
Brooks,NA,Brooks,,,,,P,NA,1924,1924,,
Ameal Brooks,Ameal,Brooks,"5'8""",165,L,R,C,LF,1929,1947,"6/3/1904								 (New Orleans, LA)","11/1971								 (Bronx, NY)"
Gus Brooks,Gus,Brooks,,,,,CF,NA,1894,1894,"1872								 (Alton, IL)","6/15/1895								 (Hastings, MI)"
Herman Brooks,Herman,Brooks,,,,,CF,NA,1909,1909,"12/4/1886								 (Muchakinock, IA)",
Irvin Brooks,Irvin,Brooks,"6'0""",210,R,R,CF,NA,1917,1933,"6/5/1891								 (Key West, FL)","2/4/1966								 (New York, NY)"
James Brooks,James,Brooks,,,,,C,NA,1887,1887,,
Sidney Brooks,Sidney,Brooks,"5'8""",180,R,R,LF,NA,1919,1926,"2/22/1893								 (Galveston, TX)","2/1/1949								 (St. Louis, MO)"
William Brooks,William,Brooks,,,,,2B,NA,1887,1887,,
Brown,NA,Brown,,,,,3B,NA,1912,1912,,
Brown,NA,Brown,,,,,P,NA,1929,1929,,
Brown,NA,Brown,,,,R,P,NA,1920,1921,,
Brown,NA,Brown,,,,,C,NA,1923,1923,,
Brown,NA,Brown,,,,,RF,NA,1908,1908,,
Brown,NA,Brown,,,,,LF,NA,1907,1907,,
Brown,NA,Brown,,,,,LF,NA,1900,1900,,
Brown,NA,Brown,,,,,2B,NA,1898,1898,,
B. Brown,B.,Brown,,,,,LF,NA,1927,1927,,
B. Brown,B.,Brown,,,,,P,NA,1913,1914,,
Barney Brown,Barney,Brown,"5'11""",160,L,L,RF,P,1931,1948,"10/23/1907								 (Hartsville, SC)","10/1985								 (Philadelphia, PA)"
Benny Brown,Benny,Brown,,,,,SS,NA,1932,1932,,
Buck Brown,Buck,Brown,,,,,2B,NA,1922,1922,,
Bud Brown,Bud,Brown,,,,,LF,NA,1918,1922,,
Country Brown,Country,Brown,,,L,R,RF,NA,1917,1933,"3/28/1896								 (Atlanta, GA)","12/25/1937								 (New York, NY)"
Dave Brown,Dave,Brown,"5'11""",165,L,L,P,NA,1919,1925,"6/9/1897								 (Marquez, TX)",
Earl Brown,Earl,Brown,"5'9""",165,,L,P,NA,1924,1924,"7/24/1900								 (Charlottesville, VA)","4/13/1980								 (New York, NY)"
Elias Brown,Elias,Brown,,,,,P,NA,1913,1914,"1887								 (Washington, DC)",
Elmer Brown,Elmer,Brown,"6'0""",195,,,3B,NA,1921,1921,"12/16/1888								 (Champaign, IL)","7/1973								 (Champaign, IL)"
Fred Brown,Fred,Brown,,,,,RF,NA,1910,1910,,
Frenchy Brown,Frenchy,Brown,,,,,1B,NA,1909,1909,,
George Brown,George,Brown,,,,R,P,NA,1925,1927,,
George Brown,George,Brown,"5'7""",157,,R,CF,NA,1910,1921,"10/24/1885								 (Olmsted, IL)","9/16/1955								 (Dayton, OH)"
Harry Brown,Harry,Brown,,,,,3B,NA,1910,1912,,
J. Brown,J.,Brown,,,,,C,NA,1919,1921,,
Jim Brown,Jim,Brown,"5'11""",185,B,R,C,NA,1919,1937,"5/16/1892								 (San Marcos, TX)","1/21/1943								 (San Antonio, TX)"
Larry Brown,Larry,Brown,"5'7""",162,B,R,C,NA,1921,1947,"9/16/1901								 (Birmingham, AL)","4/7/1972								 (Memphis, TN)"
Maywood Brown,Maywood,Brown,"6'0""",,,,P,NA,1917,1925,"9/1/1896								 (Washington, PA)","10/1963								 (New York, NY)"
Mike Brown,Mike,Brown,,,,,RF,NA,1905,1914,,
Nep Brown,Nep,Brown,,,,,LF,NA,1907,1909,,
Ossie Brown,Ossie,Brown,,,,,P,NA,1935,1939,,
Ray Brown,Ray,Brown,"6'1""",195,B,R,CF,P,1931,1945,"2/23/1908								 (McDonald Township, OH)","2/8/1965								 (Dayton, OH)"
Robert Brown,Robert,Brown,,,,,RF,NA,1887,1887,,
Scrappy Brown,Scrappy,Brown,"5'11""",195,,R,SS,NA,1920,1930,"7/18/1899								 (Sparrows Point, MD)","9/13/1951								 (Washington, DC)"
Willard Brown,Willard,Brown,"5'11""",200,R,R,SS,CF,1935,1948,"6/26/1915								 (Shreveport, LA)","8/4/1996								 (Houston, TX)"
Broyles,NA,Broyles,,,,L,P,NA,1925,1925,,
