player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Harry Leavell,Harry,Leavell,"6'0""",170,,R,1B,NA,1908,1911,"7/16/1879								 (Hopkinsville, KY)",
José Leblanc,José,Leblanc,,,R,R,P,NA,1915,1921,"1894								 (Cienfuegos, Cuba)","1/31/1922								 (Santiago de Cuba, Cuba)"
Lee,NA,Lee,,,,,2B,NA,1914,1914,,
Lee,NA,Lee,,,,,-,NA,1923,1923,,
Lee,NA,Lee,,,,,2B,NA,1906,1906,,
Lee,NA,Lee,,,,,SS,NA,1917,1917,,
Lee,NA,Lee,,,,,-,NA,1927,1927,,
Eddie Lee,Eddie,Lee,,,,,RF,NA,1909,1912,,
Lown Lee,Lown,Lee,,,,,P,NA,1911,1911,,
Script Lee,Script,Lee,"6'0""",175,R,R,P,NA,1921,1934,"1/29/1899								 (Washington, DC)","2/13/1974								 (Washington, DC)"
Leon,NA,Leon,,,,,RF,NA,1915,1920,,
Bobo Leonard,Bobo,Leonard,,,,,CF,NA,1921,1928,,
Buck Leonard,Buck,Leonard,"5'10""",185,L,L,1B,NA,1933,1948,"9/8/1907								 (Rocky Mount, NC)","11/27/1997								 (Rocky Mount, NC)"
Charlie Leonard,Charlie,Leonard,"5'7""",150,,,1B,NA,1933,1933,"8/27/1912								 (Rocky Mount, NC)","5/10/1952								 (Kinston, NC)"
Lester,NA,Lester,,,,,P,NA,1932,1932,,
Oscar Levis,Oscar,Levis,"5'7""",175,L,R,P,NA,1921,1932,"8/7/1898								 (Oracabessa, Jamaica)","5/24/1983								 (Norfolk, VA)"
Charlie Lewis,Charlie,Lewis,"5'4""",160,R,R,SS,NA,1926,1926,"1/3/1907								 (Fredericksburg, VA)","1/18/1972								 (Fredericksburg, VA)"
Clarence Lewis,Clarence,Lewis,,,R,R,SS,NA,1932,1934,,
Earl Lewis,Earl,Lewis,,,,R,P,NA,1923,1923,,
Frank Lewis,Frank,Lewis,,,,,RF,NA,1932,1932,,
Gaston Lewis,Gaston,Lewis,"5'7""",168,,L,P,NA,1922,1926,"8/4/1903								 (Clinton County, OH)","5/28/1989								 (Xenia, OH)"
Grover Lewis,Grover,Lewis,,,R,R,3B,NA,1928,1928,"1895								 (Tulsa, OK)",
Jerome Lewis,Jerome,Lewis,,,,R,3B,NA,1910,1913,"1/14/1890								 (Memphis, TN)","10/25/1962								 (French Lick, IN)"
Jim Lewis,Jim,Lewis,"6'0""",160,,L,P,NA,1936,1938,,
Joe Lewis,Joe,Lewis,"5'11""",195,R,R,C,NA,1920,1937,"1/17/1895								 (Drakes Branch, VA)","10/1986								 (Portsmouth, VA)"
Milton Lewis,Milton,Lewis,,,,R,2B,NA,1922,1928,,
Charley Lightner,Charley,Lightner,"5'7""",,,,P,NA,1920,1920,"7/17/1892								 (Atkins, AR)","9/1967								 (Chicago, IL)"
Rufus Ligon,Rufus,Ligon,"6'1""",185,,L,P,NA,1932,1945,"5/6/1903								 (Cameron, TX)","9/24/1992								 (Dunlay, TX)"
Joe Lillard,Joe,Lillard,"5'11""",190,R,R,LF,P,1932,1937,"6/15/1905								 (Tulsa, OK)","9/18/1978								 (New York, NY)"
William Linder,William,Linder,,,,,P,NA,1922,1922,1886 (birthplace unknown),
Bill Lindsay,Bill,Lindsay,,,,R,CF,NA,1909,1914,"6/12/1891								 (Lexington, MO)","9/1/1914								 (Chicago, IL)"
Clarence Lindsay,Clarence,Lindsay,,153,B,R,SS,NA,1920,1929,"3/22/1898								 (Columbia, SC)","7/19/1944								 (New York, NY)"
Frog Lindsay,Frog,Lindsay,"5'3""",130,,R,SS,NA,1909,1910,"3/6/1885								 (Lexington, MO)","12/16/1964								 (Columbia, MO)"
Leonard Lindsay,Leonard,Lindsay,"6'3""",192,L,R,1B,NA,1935,1946,"4/6/1909								 (Greensboro, NC)","12/16/1988								 (Salisbury, NC)"
